SchoolYear,Sector,SubSector,ulcscode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2023-2024,District,District,1010,John Bartram High School,Network 13,09,158,24,15.19,134,84.81,40,25.32,118,74.68,72,45.57,86,54.43,0,0.00,6,3.80,121,76.58,25,15.82,6,3.80,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,10,145,40,27.59,105,72.41,34,23.45,111,76.55,64,44.14,80,55.17,0,0.00,4,2.76,103,71.03,33,22.76,5,3.45,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,11,111,23,20.72,88,79.28,29,26.13,82,73.87,51,45.95,60,54.05,0,0.00,4,3.60,91,81.98,11,9.91,4,3.60,0,0.00,1,0.90,
2023-2024,District,District,1010,John Bartram High School,Network 13,12,112,27,24.11,85,75.89,26,23.21,86,76.79,54,48.21,58,51.79,0,0.00,4,3.57,90,80.36,17,15.18,1,0.89,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,All Grades,526,114,21.67,412,78.33,129,24.52,397,75.48,241,45.82,284,53.99,0,0.00,18,3.42,405,77.00,86,16.35,16,3.04,0,0.00,1,0.19,100.00
2023-2024,District,District,1020,West Philadelphia High School,Network 13,09,196,12,6.12,184,93.88,55,28.06,141,71.94,103,52.55,93,47.45,1,0.51,4,2.04,171,87.24,9,4.59,9,4.59,0,0.00,1,0.51,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,10,164,7,4.27,157,95.73,42,25.61,122,74.39,73,44.51,91,55.49,1,0.61,1,0.61,148,90.24,8,4.88,2,1.22,0,0.00,3,1.83,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,11,143,7,4.90,136,95.10,59,41.26,84,58.74,57,39.86,86,60.14,1,0.70,1,0.70,127,88.81,6,4.20,7,4.90,0,0.00,0,0.00,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,12,98,4,4.08,94,95.92,46,46.94,52,53.06,42,42.86,56,57.14,0,0.00,0,0.00,84,85.71,3,3.06,9,9.18,0,0.00,2,2.04,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,All Grades,601,30,4.99,571,95.01,202,33.61,399,66.39,275,45.76,326,54.24,3,0.50,6,1.00,530,88.19,26,4.33,27,4.49,0,0.00,6,1.00,100.00
2023-2024,District,District,1030,High School of the Future,Innovation,09,171,2,1.17,169,98.83,43,25.15,128,74.85,81,47.37,90,52.63,0,0.00,2,1.17,163,95.32,5,2.92,0,0.00,0,0.00,1,0.58,
2023-2024,District,District,1030,High School of the Future,Innovation,10,135,4,2.96,131,97.04,36,26.67,99,73.33,65,48.15,70,51.85,1,0.74,1,0.74,119,88.15,9,6.67,4,2.96,0,0.00,1,0.74,
2023-2024,District,District,1030,High School of the Future,Innovation,11,114,2,1.75,112,98.25,21,18.42,93,81.58,69,60.53,45,39.47,3,2.63,1,0.88,105,92.11,2,1.75,1,0.88,0,0.00,2,1.75,
2023-2024,District,District,1030,High School of the Future,Innovation,12,140,3,2.14,137,97.86,38,27.14,102,72.86,62,44.29,77,55.00,0,0.00,2,1.43,130,92.86,3,2.14,3,2.14,0,0.00,2,1.43,
2023-2024,District,District,1030,High School of the Future,Innovation,All Grades,560,11,1.96,549,98.04,138,24.64,422,75.36,277,49.46,282,50.36,4,0.71,6,1.07,517,92.32,19,3.39,8,1.43,0,0.00,6,1.07,100.00
2023-2024,District,District,1050,Paul Robeson High School for Human Services,Network 1,09,72,4,5.56,68,94.44,16,22.22,56,77.78,39,54.17,33,45.83,0,0.00,0,0.00,69,95.83,2,2.78,0,0.00,0,0.00,1,1.39,
2023-2024,District,District,1050,Paul Robeson High School for Human Services,Network 1,10,63,4,6.35,59,93.65,17,26.98,46,73.02,36,57.14,27,42.86,0,0.00,1,1.59,60,95.24,0,0.00,1,1.59,0,0.00,1,1.59,
2023-2024,District,District,1050,Paul Robeson High School for Human Services,Network 1,11,77,3,3.90,74,96.10,12,15.58,65,84.42,42,54.55,35,45.45,0,0.00,0,0.00,74,96.10,2,2.60,1,1.30,0,0.00,0,0.00,
2023-2024,District,District,1050,Paul Robeson High School for Human Services,Network 1,12,79,4,5.06,75,94.94,14,17.72,65,82.28,43,54.43,36,45.57,0,0.00,0,0.00,75,94.94,3,3.80,1,1.27,0,0.00,0,0.00,
2023-2024,District,District,1050,Paul Robeson High School for Human Services,Network 1,All Grades,291,15,5.15,276,94.85,59,20.27,232,79.73,160,54.98,131,45.02,0,0.00,1,0.34,278,95.53,7,2.41,3,1.03,0,0.00,2,0.69,100.00
2023-2024,District,District,1100,William L. Sayre High School,Network 13,09,112,5,4.46,107,95.54,36,32.14,76,67.86,56,50.00,56,50.00,0,0.00,1,0.89,103,91.96,2,1.79,4,3.57,0,0.00,2,1.79,
2023-2024,District,District,1100,William L. Sayre High School,Network 13,10,109,6,5.50,103,94.50,31,28.44,78,71.56,44,40.37,65,59.63,0,0.00,1,0.92,98,89.91,8,7.34,1,0.92,0,0.00,1,0.92,
2023-2024,District,District,1100,William L. Sayre High School,Network 13,11,98,3,3.06,95,96.94,36,36.73,62,63.27,56,57.14,42,42.86,1,1.02,0,0.00,89,90.82,5,5.10,3,3.06,0,0.00,0,0.00,
2023-2024,District,District,1100,William L. Sayre High School,Network 13,12,107,2,1.87,105,98.13,56,52.34,51,47.66,49,45.79,58,54.21,0,0.00,0,0.00,95,88.79,1,0.93,11,10.28,0,0.00,0,0.00,
2023-2024,District,District,1100,William L. Sayre High School,Network 13,All Grades,426,16,3.76,410,96.24,159,37.32,267,62.68,205,48.12,221,51.88,1,0.23,2,0.47,385,90.38,16,3.76,19,4.46,0,0.00,3,0.70,100.00
2023-2024,District,District,1130,William T. Tilden School,Network 10,05,29,5,17.24,24,82.76,2,6.90,27,93.10,14,48.28,15,51.72,0,0.00,2,6.90,21,72.41,5,17.24,0,0.00,0,0.00,1,3.45,
2023-2024,District,District,1130,William T. Tilden School,Network 10,06,64,15,23.44,49,76.56,9,14.06,55,85.94,35,54.69,29,45.31,0,0.00,8,12.50,44,68.75,11,17.19,0,0.00,0,0.00,1,1.56,
2023-2024,District,District,1130,William T. Tilden School,Network 10,07,88,20,22.73,68,77.27,20,22.73,68,77.27,41,46.59,47,53.41,0,0.00,3,3.41,71,80.68,11,12.50,1,1.14,0,0.00,2,2.27,
2023-2024,District,District,1130,William T. Tilden School,Network 10,08,100,19,19.00,81,81.00,26,26.00,74,74.00,43,43.00,57,57.00,0,0.00,10,10.00,76,76.00,9,9.00,2,2.00,0,0.00,3,3.00,
2023-2024,District,District,1130,William T. Tilden School,Network 10,All Grades,281,59,21.00,222,79.00,57,20.28,224,79.72,133,47.33,148,52.67,0,0.00,23,8.19,212,75.44,36,12.81,3,1.07,0,0.00,7,2.49,100.00
2023-2024,District,District,1190,Motivation High School,Network 1,09,19,4,21.05,15,78.95,1,5.26,18,94.74,10,52.63,9,47.37,0,0.00,0,0.00,17,89.47,1,5.26,1,5.26,0,0.00,0,0.00,
2023-2024,District,District,1190,Motivation High School,Network 1,10,69,3,4.35,66,95.65,14,20.29,55,79.71,42,60.87,27,39.13,1,1.45,0,0.00,64,92.75,1,1.45,2,2.90,0,0.00,1,1.45,
2023-2024,District,District,1190,Motivation High School,Network 1,11,71,9,12.68,62,87.32,10,14.08,61,85.92,25,35.21,45,63.38,0,0.00,1,1.41,66,92.96,2,2.82,2,2.82,0,0.00,0,0.00,
2023-2024,District,District,1190,Motivation High School,Network 1,12,80,8,10.00,72,90.00,17,21.25,63,78.75,37,46.25,43,53.75,0,0.00,1,1.25,74,92.50,3,3.75,1,1.25,0,0.00,1,1.25,
2023-2024,District,District,1190,Motivation High School,Network 1,All Grades,239,24,10.04,215,89.96,42,17.57,197,82.43,114,47.70,124,51.88,1,0.42,2,0.84,221,92.47,7,2.93,6,2.51,0,0.00,2,0.84,100.00
2023-2024,District,District,1200,John Barry School,Network 5,00,60,2,3.33,58,96.67,0,0.00,60,100.00,27,45.00,33,55.00,0,0.00,1,1.67,50,83.33,7,11.67,2,3.33,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,01,69,0,0.00,69,100.00,8,11.59,61,88.41,40,57.97,29,42.03,0,0.00,1,1.45,67,97.10,1,1.45,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,02,51,0,0.00,51,100.00,5,9.80,46,90.20,17,33.33,34,66.67,0,0.00,0,0.00,48,94.12,3,5.88,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,03,40,0,0.00,40,100.00,12,30.00,28,70.00,20,50.00,20,50.00,0,0.00,0,0.00,38,95.00,2,5.00,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,04,69,2,2.90,67,97.10,15,21.74,54,78.26,31,44.93,38,55.07,0,0.00,0,0.00,64,92.75,4,5.80,0,0.00,0,0.00,1,1.45,
2023-2024,District,District,1200,John Barry School,Network 5,05,62,2,3.23,60,96.77,20,32.26,42,67.74,26,41.94,36,58.06,0,0.00,0,0.00,53,85.48,6,9.68,3,4.84,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,06,49,0,0.00,49,100.00,12,24.49,37,75.51,27,55.10,22,44.90,0,0.00,0,0.00,48,97.96,1,2.04,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,07,53,1,1.89,52,98.11,12,22.64,41,77.36,34,64.15,19,35.85,0,0.00,0,0.00,49,92.45,3,5.66,1,1.89,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,08,40,2,5.00,38,95.00,11,27.50,29,72.50,21,52.50,19,47.50,0,0.00,0,0.00,40,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1200,John Barry School,Network 5,All Grades,493,9,1.83,484,98.17,95,19.27,398,80.73,243,49.29,250,50.71,0,0.00,2,0.41,457,92.70,27,5.48,6,1.22,0,0.00,1,0.20,100.00
2023-2024,District,District,1230,William C. Bryant School,Acceleration,00,41,3,7.32,38,92.68,2,4.88,39,95.12,28,68.29,13,31.71,0,0.00,0,0.00,37,90.24,1,2.44,2,4.88,0,0.00,1,2.44,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,01,32,1,3.13,31,96.88,3,9.38,29,90.63,18,56.25,14,43.75,0,0.00,0,0.00,29,90.63,3,9.38,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,02,42,2,4.76,40,95.24,6,14.29,36,85.71,23,54.76,19,45.24,0,0.00,2,4.76,39,92.86,1,2.38,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,03,32,1,3.13,31,96.88,3,9.38,29,90.63,15,46.88,17,53.13,0,0.00,1,3.13,27,84.38,3,9.38,1,3.13,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,04,40,4,10.00,36,90.00,5,12.50,35,87.50,19,47.50,21,52.50,0,0.00,1,2.50,39,97.50,0,0.00,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,05,32,1,3.13,31,96.88,5,15.63,27,84.38,15,46.88,17,53.13,1,3.13,0,0.00,29,90.63,1,3.13,0,0.00,0,0.00,1,3.13,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,06,45,3,6.67,42,93.33,4,8.89,41,91.11,23,51.11,22,48.89,0,0.00,1,2.22,37,82.22,6,13.33,0,0.00,0,0.00,1,2.22,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,07,41,1,2.44,40,97.56,7,17.07,34,82.93,19,46.34,22,53.66,0,0.00,0,0.00,39,95.12,1,2.44,1,2.44,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,08,36,2,5.56,34,94.44,7,19.44,29,80.56,22,61.11,14,38.89,0,0.00,1,2.78,30,83.33,4,11.11,1,2.78,0,0.00,0,0.00,
2023-2024,District,District,1230,William C. Bryant School,Acceleration,All Grades,341,18,5.28,323,94.72,42,12.32,299,87.68,182,53.37,159,46.63,1,0.29,6,1.76,306,89.74,20,5.87,5,1.47,0,0.00,3,0.88,100.00
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,00,63,12,19.05,51,80.95,0,0.00,63,100.00,31,49.21,32,50.79,2,3.17,3,4.76,38,60.32,10,15.87,8,12.70,0,0.00,2,3.17,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,01,72,20,27.78,52,72.22,9,12.50,63,87.50,38,52.78,34,47.22,0,0.00,2,2.78,51,70.83,18,25.00,1,1.39,0,0.00,0,0.00,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,02,62,17,27.42,45,72.58,9,14.52,53,85.48,31,50.00,31,50.00,0,0.00,2,3.23,44,70.97,14,22.58,2,3.23,0,0.00,0,0.00,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,03,63,19,30.16,44,69.84,6,9.52,57,90.48,29,46.03,34,53.97,0,0.00,4,6.35,39,61.90,13,20.63,6,9.52,0,0.00,1,1.59,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,04,73,15,20.55,58,79.45,15,20.55,58,79.45,29,39.73,44,60.27,0,0.00,12,16.44,44,60.27,10,13.70,5,6.85,0,0.00,2,2.74,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,05,65,15,23.08,50,76.92,10,15.38,55,84.62,35,53.85,30,46.15,0,0.00,2,3.08,48,73.85,10,15.38,4,6.15,1,1.54,0,0.00,
2023-2024,District,District,1250,Joseph W. Catharine School,Network 12,All Grades,398,98,24.62,300,75.38,49,12.31,349,87.69,193,48.49,205,51.51,2,0.50,25,6.28,264,66.33,75,18.84,26,6.53,1,0.25,5,1.26,100.00
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,00,34,1,2.94,33,97.06,2,5.88,32,94.12,12,35.29,22,64.71,0,0.00,0,0.00,29,85.29,3,8.82,1,2.94,0,0.00,1,2.94,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,01,20,1,5.00,19,95.00,2,10.00,18,90.00,8,40.00,12,60.00,0,0.00,0,0.00,19,95.00,0,0.00,0,0.00,0,0.00,1,5.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,02,40,0,0.00,40,100.00,7,17.50,33,82.50,23,57.50,17,42.50,0,0.00,0,0.00,39,97.50,1,2.50,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,03,21,1,4.76,20,95.24,1,4.76,20,95.24,11,52.38,10,47.62,0,0.00,0,0.00,19,90.48,0,0.00,1,4.76,0,0.00,1,4.76,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,04,28,1,3.57,27,96.43,4,14.29,24,85.71,10,35.71,18,64.29,0,0.00,1,3.57,25,89.29,1,3.57,1,3.57,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,05,24,1,4.17,23,95.83,4,16.67,20,83.33,11,45.83,13,54.17,0,0.00,0,0.00,21,87.50,3,12.50,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,06,33,0,0.00,33,100.00,7,21.21,26,78.79,18,54.55,15,45.45,0,0.00,1,3.03,31,93.94,1,3.03,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,07,33,0,0.00,33,100.00,9,27.27,24,72.73,17,51.52,16,48.48,0,0.00,0,0.00,32,96.97,0,0.00,1,3.03,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,08,34,0,0.00,34,100.00,9,26.47,25,73.53,18,52.94,16,47.06,0,0.00,0,0.00,34,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2023-2024,District,District,1260,Benjamin B. Comegys School,Network 12,All Grades,267,5,1.87,262,98.13,45,16.85,222,83.15,128,47.94,139,52.06,0,0.00,2,0.75,249,93.26,9,3.37,4,1.50,0,0.00,3,1.12,100.00
