SchoolYear,Sector,SubSector,ulcscode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2023-2024,District,District,8200,Ethan Allen School,Network 9,00,86,37,43.02,49,56.98,4,4.65,82,95.35,41,47.67,45,52.33,0,0.00,7,8.14,16,18.60,46,53.49,4,4.65,0,0.00,13,15.12,
2023-2024,District,District,8200,Ethan Allen School,Network 9,01,95,51,53.68,44,46.32,6,6.32,89,93.68,56,58.95,39,41.05,1,1.05,10,10.53,12,12.63,54,56.84,7,7.37,0,0.00,11,11.58,
2023-2024,District,District,8200,Ethan Allen School,Network 9,02,110,50,45.45,60,54.55,7,6.36,103,93.64,52,47.27,58,52.73,0,0.00,10,9.09,20,18.18,60,54.55,4,3.64,0,0.00,16,14.55,
2023-2024,District,District,8200,Ethan Allen School,Network 9,03,112,61,54.46,51,45.54,9,8.04,103,91.96,51,45.54,61,54.46,0,0.00,9,8.04,24,21.43,66,58.93,1,0.89,0,0.00,12,10.71,
2023-2024,District,District,8200,Ethan Allen School,Network 9,04,115,58,50.43,57,49.57,9,7.83,106,92.17,55,47.83,60,52.17,0,0.00,11,9.57,20,17.39,62,53.91,1,0.87,0,0.00,21,18.26,
2023-2024,District,District,8200,Ethan Allen School,Network 9,05,99,45,45.45,54,54.55,13,13.13,86,86.87,50,50.51,49,49.49,0,0.00,6,6.06,20,20.20,55,55.56,5,5.05,0,0.00,13,13.13,
2023-2024,District,District,8200,Ethan Allen School,Network 9,06,106,35,33.02,71,66.98,15,14.15,91,85.85,51,48.11,55,51.89,0,0.00,13,12.26,33,31.13,44,41.51,2,1.89,1,0.94,13,12.26,
2023-2024,District,District,8200,Ethan Allen School,Network 9,07,98,32,32.65,66,67.35,7,7.14,91,92.86,49,50.00,49,50.00,0,0.00,9,9.18,23,23.47,47,47.96,3,3.06,0,0.00,16,16.33,
2023-2024,District,District,8200,Ethan Allen School,Network 9,08,96,43,44.79,53,55.21,14,14.58,82,85.42,35,36.46,60,62.50,0,0.00,10,10.42,24,25.00,42,43.75,8,8.33,0,0.00,12,12.50,
2023-2024,District,District,8200,Ethan Allen School,Network 9,All Grades,917,412,44.93,505,55.07,84,9.16,833,90.84,440,47.98,476,51.91,1,0.11,85,9.27,192,20.94,476,51.91,35,3.82,1,0.11,127,13.85,100.00
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,00,56,13,23.21,43,76.79,4,7.14,52,92.86,25,44.64,31,55.36,0,0.00,0,0.00,17,30.36,19,33.93,8,14.29,0,0.00,12,21.43,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,01,54,12,22.22,42,77.78,4,7.41,50,92.59,29,53.70,25,46.30,0,0.00,0,0.00,14,25.93,23,42.59,2,3.70,0,0.00,15,27.78,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,02,41,10,24.39,31,75.61,8,19.51,33,80.49,21,51.22,20,48.78,0,0.00,1,2.44,15,36.59,17,41.46,2,4.88,0,0.00,6,14.63,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,03,48,7,14.58,41,85.42,9,18.75,39,81.25,20,41.67,28,58.33,0,0.00,3,6.25,17,35.42,17,35.42,2,4.17,0,0.00,9,18.75,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,04,50,8,16.00,42,84.00,13,26.00,37,74.00,19,38.00,31,62.00,0,0.00,3,6.00,17,34.00,19,38.00,3,6.00,0,0.00,8,16.00,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,05,50,4,8.00,46,92.00,9,18.00,41,82.00,21,42.00,29,58.00,0,0.00,1,2.00,19,38.00,19,38.00,0,0.00,0,0.00,11,22.00,
2023-2024,District,District,8210,Joseph H. Brown School,Network 9,06,42,8,19.05,34,80.95,6,14.29,36,85.71,18,42.86,24,57.14,0,0.00,2,4.76,17,40.48,12,28.57,2,4.76,0,0.00,9,21.43,
