zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
18235,"LEHIGHTON, PA",813///,22,15,7,N,N,N,N,N,N,N,LEHIGHTON,PA,CARBON
18237,"MCADOO, PA",813///,3,N,N,N,N,N,N,N,N,N,MCADOO,PA,SCHUYLKILL
18240,"NESQUEHONING, PA",813///,3,N,N,N,N,N,N,N,N,N,NESQUEHONING,PA,CARBON
18250,"SUMMIT HILL, PA",813///,5,4,N,N,N,N,N,N,N,N,SUMMIT HILL,PA,CARBON
18252,"TAMAQUA, PA",611///,3,N,N,N,N,N,N,N,N,N,TAMAQUA,PA,SCHUYLKILL
18252,"TAMAQUA, PA",813///,13,7,5,N,N,N,N,N,N,N,TAMAQUA,PA,SCHUYLKILL
18255,"WEATHERLY, PA",813///,7,5,N,N,N,N,N,N,N,N,WEATHERLY,PA,CARBON
18301,"EAST STROUDSBURG, PA",611///,7,5,N,N,N,N,N,N,N,N,EAST STROUDSBURG,PA,MONROE
18301,"EAST STROUDSBURG, PA",813///,23,14,5,4,N,N,N,N,N,N,EAST STROUDSBURG,PA,MONROE
18302,"EAST STROUDSBURG, PA",813///,8,7,N,N,N,N,N,N,N,N,EAST STROUDSBURG,PA,MONROE
18322,"BRODHEADSVILLE, PA",813///,6,6,N,N,N,N,N,N,N,N,BRODHEADSVILLE,PA,MONROE
18324,"BUSHKILL, PA",813///,6,N,N,N,N,N,N,N,N,N,BUSHKILL,PA,PIKE
18325,"CANADENSIS, PA",813///,3,N,N,N,N,N,N,N,N,N,CANADENSIS,PA,MONROE
18326,"CRESCO, PA",813///,6,4,N,N,N,N,N,N,N,N,CRESCO,PA,MONROE
18328,"DINGMANS FERRY, PA",813///,7,3,3,N,N,N,N,N,N,N,DINGMANS FERRY,PA,PIKE
18330,"EFFORT, PA",813///,5,4,N,N,N,N,N,N,N,N,EFFORT,PA,MONROE
18334,"LONG POND, PA",813///,3,N,N,N,N,N,N,N,N,N,LONG POND,PA,MONROE
18337,"MILFORD, PA",813///,18,13,4,N,N,N,N,N,N,N,MILFORD,PA,PIKE
18343,"MOUNT BETHEL, PA",813///,3,N,N,N,N,N,N,N,N,N,MOUNT BETHEL,PA,NORTHAMPTON
18344,"MOUNT POCONO, PA",813///,9,7,N,N,N,N,N,N,N,N,MOUNT POCONO,PA,MONROE
18346,"POCONO SUMMIT, PA",813///,3,3,N,N,N,N,N,N,N,N,POCONO SUMMIT,PA,MONROE
18347,"POCONO LAKE, PA",813///,3,N,N,N,N,N,N,N,N,N,POCONO LAKE,PA,MONROE
18353,"SAYLORSBURG, PA",813///,4,3,N,N,N,N,N,N,N,N,SAYLORSBURG,PA,MONROE
18360,"STROUDSBURG, PA",611///,9,6,N,N,N,N,N,N,N,N,STROUDSBURG,PA,MONROE
18360,"STROUDSBURG, PA",813///,37,29,4,N,3,N,N,N,N,N,STROUDSBURG,PA,MONROE
18372,"TANNERSVILLE, PA",813///,5,4,N,N,N,N,N,N,N,N,TANNERSVILLE,PA,MONROE
18403,"ARCHBALD, PA",813///,6,4,N,N,N,N,N,N,N,N,ARCHBALD,PA,LACKAWANNA
18407,"CARBONDALE, PA",813///,7,6,N,N,N,N,N,N,N,N,CARBONDALE,PA,LACKAWANNA
18411,"CLARKS SUMMIT, PA",611///,10,3,3,N,N,N,N,N,N,N,CLARKS SUMMIT,PA,LACKAWANNA
18411,"CLARKS SUMMIT, PA",813///,24,12,9,N,N,N,N,N,N,N,CLARKS SUMMIT,PA,LACKAWANNA
18414,"DALTON, PA",813///,6,5,N,N,N,N,N,N,N,N,DALTON,PA,LACKAWANNA
18421,"FOREST CITY, PA",813///,5,5,N,N,N,N,N,N,N,N,FOREST CITY,PA,SUSQUEHANNA
18424,"GOULDSBORO, PA",813///,10,7,N,N,N,N,N,N,N,N,GOULDSBORO,PA,LACKAWANNA
18426,"GREENTOWN, PA",813///,5,N,N,N,N,N,N,N,N,N,GREENTOWN,PA,PIKE
18427,"HAMLIN, PA",813///,3,3,N,N,N,N,N,N,N,N,HAMLIN,PA,WAYNE
18428,"HAWLEY, PA",611///,3,N,N,N,N,N,N,N,N,N,HAWLEY,PA,PIKE
18428,"HAWLEY, PA",813///,21,14,4,N,N,N,N,N,N,N,HAWLEY,PA,PIKE
18431,"HONESDALE, PA",611///,3,N,N,N,N,N,N,N,N,N,HONESDALE,PA,WAYNE
18431,"HONESDALE, PA",813///,17,9,4,N,N,N,N,N,N,N,HONESDALE,PA,WAYNE
18433,"JERMYN, PA",813///,6,5,N,N,N,N,N,N,N,N,JERMYN,PA,LACKAWANNA
18436,"LAKE ARIEL, PA",813///,10,4,N,N,N,N,N,N,N,N,LAKE ARIEL,PA,WAYNE
18444,"MOSCOW, PA",813///,13,7,6,N,N,N,N,N,N,N,MOSCOW,PA,LACKAWANNA
18445,"NEWFOUNDLAND, PA",813///,3,N,N,N,N,N,N,N,N,N,NEWFOUNDLAND,PA,WAYNE
18447,"OLYPHANT, PA",611///,4,N,N,N,N,N,N,N,N,N,OLYPHANT,PA,LACKAWANNA
18447,"OLYPHANT, PA",813///,8,5,3,N,N,N,N,N,N,N,OLYPHANT,PA,LACKAWANNA
18452,"PECKVILLE, PA",813///,4,3,N,N,N,N,N,N,N,N,PECKVILLE,PA,LACKAWANNA
18458,"SHOHOLA, PA",813///,6,4,N,N,N,N,N,N,N,N,SHOHOLA,PA,PIKE
18466,"TOBYHANNA, PA",813///,5,N,N,N,N,N,N,N,N,N,TOBYHANNA,PA,MONROE
18471,"WAVERLY, PA",813///,6,4,N,N,N,N,N,N,N,N,WAVERLY,PA,LACKAWANNA
18472,"WAYMART, PA",813///,4,3,N,N,N,N,N,N,N,N,WAYMART,PA,WAYNE
18503,"SCRANTON, PA",611///,5,4,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18503,"SCRANTON, PA",813///,20,13,4,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18504,"SCRANTON, PA",813///,13,6,5,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18505,"SCRANTON, PA",611///,4,N,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18505,"SCRANTON, PA",813///,19,13,5,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18507,"MOOSIC, PA",611///,3,N,N,N,N,N,N,N,N,N,MOOSIC,PA,LACKAWANNA
18507,"MOOSIC, PA",813///,5,3,N,N,N,N,N,N,N,N,MOOSIC,PA,LACKAWANNA
18508,"SCRANTON, PA",611///,5,N,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18508,"SCRANTON, PA",813///,14,7,5,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18509,"SCRANTON, PA",611///,7,N,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18509,"SCRANTON, PA",813///,13,10,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18510,"SCRANTON, PA",611///,6,N,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18510,"SCRANTON, PA",813///,21,10,5,5,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18512,"SCRANTON, PA",611///,4,N,N,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18512,"SCRANTON, PA",813///,11,7,3,N,N,N,N,N,N,N,SCRANTON,PA,LACKAWANNA
18517,"TAYLOR, PA",813///,4,3,N,N,N,N,N,N,N,N,TAYLOR,PA,LACKAWANNA
18518,"OLD FORGE, PA",813///,8,6,N,N,N,N,N,N,N,N,OLD FORGE,PA,LACKAWANNA
18603,"BERWICK, PA",611///,3,N,N,N,N,N,N,N,N,N,BERWICK,PA,COLUMBIA
18603,"BERWICK, PA",813///,32,21,10,N,N,N,N,N,N,N,BERWICK,PA,COLUMBIA
18610,"BLAKESLEE, PA",813///,3,N,N,N,N,N,N,N,N,N,BLAKESLEE,PA,MONROE
18612,"DALLAS, PA",611///,4,N,N,N,N,N,N,N,N,N,DALLAS,PA,LUZERNE
18612,"DALLAS, PA",813///,18,13,3,N,N,N,N,N,N,N,DALLAS,PA,LUZERNE
18614,"DUSHORE, PA",813///,3,N,N,N,N,N,N,N,N,N,DUSHORE,PA,SULLIVAN
18623,"LACEYVILLE, PA",813///,4,N,N,N,N,N,N,N,N,N,LACEYVILLE,PA,WYOMING
18634,"NANTICOKE, PA",813///,8,5,N,N,N,N,N,N,N,N,NANTICOKE,PA,LUZERNE
18635,"NESCOPECK, PA",813///,7,6,N,N,N,N,N,N,N,N,NESCOPECK,PA,LUZERNE
18640,"PITTSTON, PA",813///,18,15,N,N,N,N,N,N,N,N,PITTSTON,PA,LUZERNE
18641,"PITTSTON, PA",813///,7,4,3,N,N,N,N,N,N,N,PITTSTON,PA,LUZERNE
18642,"DURYEA, PA",813///,4,3,N,N,N,N,N,N,N,N,DURYEA,PA,LUZERNE
18643,"PITTSTON, PA",611///,4,N,N,N,N,N,N,N,N,N,PITTSTON,PA,LUZERNE
18643,"PITTSTON, PA",813///,6,N,4,N,N,N,N,N,N,N,PITTSTON,PA,LUZERNE
18644,"WYOMING, PA",813///,7,6,N,N,N,N,N,N,N,N,WYOMING,PA,LUZERNE
18651,"PLYMOUTH, PA",813///,8,6,N,N,N,N,N,N,N,N,PLYMOUTH,PA,LUZERNE
18655,"SHICKSHINNY, PA",813///,7,5,N,N,N,N,N,N,N,N,SHICKSHINNY,PA,LUZERNE
18657,"TUNKHANNOCK, PA",813///,13,11,N,N,N,N,N,N,N,N,TUNKHANNOCK,PA,WYOMING
18660,"WAPWALLOPEN, PA",813///,3,3,N,N,N,N,N,N,N,N,WAPWALLOPEN,PA,LUZERNE
18661,"WHITE HAVEN, PA",813///,12,12,N,N,N,N,N,N,N,N,WHITE HAVEN,PA,LUZERNE
18701,"WILKES BARRE, PA",611///,6,N,N,N,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18701,"WILKES BARRE, PA",813///,19,6,7,N,3,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18702,"WILKES BARRE, PA",611///,12,4,N,4,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18702,"WILKES BARRE, PA",813///,35,25,4,4,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18704,"KINGSTON, PA",611///,14,4,3,N,4,N,N,N,N,N,KINGSTON,PA,LUZERNE
18704,"KINGSTON, PA",813///,25,18,4,3,N,N,N,N,N,N,KINGSTON,PA,LUZERNE
18705,"WILKES BARRE, PA",611///,3,N,N,N,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18705,"WILKES BARRE, PA",813///,17,12,N,N,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18706,"WILKES BARRE, PA",813///,14,13,N,N,N,N,N,N,N,N,WILKES BARRE,PA,LUZERNE
18707,"MOUNTAIN TOP, PA",611///,4,N,N,N,N,N,N,N,N,N,MOUNTAIN TOP,PA,LUZERNE
18707,"MOUNTAIN TOP, PA",813///,11,6,3,N,N,N,N,N,N,N,MOUNTAIN TOP,PA,LUZERNE
18708,"SHAVERTOWN, PA",813///,8,N,N,4,N,N,N,N,N,N,SHAVERTOWN,PA,LUZERNE
18709,"LUZERNE, PA",813///,5,4,N,N,N,N,N,N,N,N,LUZERNE,PA,LUZERNE
18801,"MONTROSE, PA",813///,14,8,3,N,N,N,N,N,N,N,MONTROSE,PA,SUSQUEHANNA
18810,"ATHENS, PA",813///,6,4,N,N,N,N,N,N,N,N,ATHENS,PA,BRADFORD
18822,"HALLSTEAD, PA",813///,4,3,N,N,N,N,N,N,N,N,HALLSTEAD,PA,SUSQUEHANNA
