IE_SCORE,Latitude,Longitude,GEO_ID,ZIP_CODE
,20.711955,-156.438498,,96753.0
,20.738821,-156.045046,,96713.0
,20.832264,-156.297856,,96768.0
,20.836482,-156.927377,,96763.0
,20.852389,-156.223562,,96708.0
,20.883783,-156.462641,,96732.0
,20.895445,-156.530122,,96793.0
,20.897296,-156.61354,,96761.0
,20.90926,-156.384632,,96779.0
,21.131173,-156.835237,,96748.0
,21.133617,-157.216932,,96770.0
,21.154453,-156.977379,,96757.0
,21.173558,-157.116812,,96729.0
,21.176668,-156.965748,,96742.0
,21.273462,-157.822444,,96815.0
,21.290676,-157.788352,,96816.0
,21.291518,-157.826869,,96826.0
,21.293143,-157.848767,,96814.0
,21.294518,-157.688748,,96825.0
,21.303768,-157.862663,,96850.0
,21.311063,-157.750269,,96821.0
,21.316548,-157.845053,,96813.0
,21.320208,-157.810759,,96822.0
,21.333755,-157.938957,,96853.0
,21.335013,-157.710924,,96795.0
,21.343331,-157.941721,,96818.0
,21.344763,-158.022279,,96706.0
,21.347117,-157.877317,,96819.0
,21.355506,-157.821647,,96817.0
,21.355655,-157.941232,,96860.0
,21.36046,-157.890628,,96859.0
,21.363106,-158.082206,,96707.0
,21.395084,-157.758188,,96734.0
,21.406053,-157.884952,,96701.0
,21.417374,-157.936867,,96782.0
,21.430996,-157.972895,,96797.0
,21.448453,-157.762325,,96863.0
,21.451733,-157.824227,,96744.0
,21.467418,-158.072427,,96759.0
,21.468626,-158.166919,,96792.0
,21.483875,-157.934284,,96789.0
,21.486745,-158.0515,,96857.0
,21.543144,-157.850479,,96730.0
,21.557794,-157.90534,,96717.0
,21.56364,-158.185151,,96791.0
,21.564057,-157.979306,,96786.0
,21.618531,-157.9439,,96762.0
,21.621367,-158.048011,,96712.0
,21.677463,-157.96812,,96731.0
,21.895567,-160.152508,,96769.0
,21.899532,-159.568546,,96705.0
,21.907071,-159.451665,,96756.0
,21.911192,-159.477967,,96765.0
,21.929944,-159.624427,,96747.0
,21.956769,-159.513981,,96741.0
,21.970965,-159.714507,,96752.0
,21.991913,-159.398906,,96766.0
,22.049275,-159.592419,,96716.0
,22.093378,-159.38519,,96746.0
,22.094055,-159.718749,,96796.0
,22.104971,-159.302546,,96751.0
,22.13125,-159.520972,,96714.0
,22.145578,-159.385681,,96703.0
,22.178915,-159.41229,,96754.0
,22.188349,-159.460872,,96722.0
,24.560908,-81.889478,,33040.0
,24.682083,-81.510666,,33042.0
,24.723406,-81.021647,,33051.0
,24.725861,-81.329949,,33043.0
,24.747487,-81.010326,,33050.0
,24.81713,-80.806001,,33001.0
,24.893835,-80.710993,,33036.0
,25.017205,-80.518498,,33070.0
,25.228322,-80.395451,,33037.0
,25.274332,-80.632552,,33034.0
,25.409275,-80.384155,,33035.0
,25.481199,-80.414925,,33033.0
,25.485147,-80.510882,,33030.0
,25.501679,-80.398423,,33039.0
,25.524982,-80.500875,,33031.0
,25.531517,-80.3908,,33032.0
,25.557912,-80.457897,,33170.0
,25.560027,-80.349887,,33190.0
,25.572213,-80.335434,,33189.0
,25.595896,-80.506909,,33187.0
,25.596129,-80.404194,,33177.0
,25.606126,-80.343496,,33157.0
,25.63884,-80.311316,,33158.0
,25.652131,-80.490508,,33196.0
,25.654426,-80.412156,,33186.0
,25.659873,-80.358354,,33176.0
,25.668203,-80.29701,,33156.0
,25.70077,-80.465111,,33193.0
,25.70232,-80.357503,,33173.0
,25.702563,-80.404682,,33183.0
,25.703032,-80.297375,,33143.0
,25.714005,-80.583757,,33194.0
,25.719513,-80.168541,,33149.0
,25.72085,-80.272571,,33146.0
,25.726359,-80.450733,,33185.0
,25.728662,-80.239996,,33133.0
,25.734345,-80.358271,,33165.0
,25.734787,-80.406761,,33175.0
,25.736887,-80.310768,,33155.0
,25.750167,-80.190028,,33129.0
,25.753132,-80.234427,,33145.0
,25.753332,-80.270379,,33134.0
,25.756717,-80.140066,,33109.0
,25.759711,-80.406473,,33184.0
,25.761518,-80.364697,,33174.0
,25.763458,-80.312667,,33144.0
,25.766206,-80.182897,,33131.0
,25.766544,-80.235095,,33135.0
,25.768524,-80.203359,,33130.0
,25.776168,-80.203733,,33128.0
,25.77789,-80.176165,,33132.0
,25.779298,-80.198739,,33101.0
,25.7794,-80.299475,,33126.0
,25.779808,-80.1532,,33139.0
,25.780654,-80.457553,,33182.0
,25.783849,-80.23609,,33125.0
,25.786909,-80.361253,,33172.0
,25.787182,-80.204722,,33136.0
,25.794856,-80.288375,,33122.0
,25.812043,-80.238614,,33142.0
,25.813175,-80.205808,,33127.0
,25.816281,-80.171528,,33137.0
,25.816512,-81.368569,,34138.0
,25.819714,-80.133711,,33140.0
,25.827855,-80.316183,,33166.0
,25.830885,-81.403372,,34139.0
,25.833202,-80.27872,,33010.0
,25.834607,-80.422908,,33178.0
,25.851225,-80.238166,,33147.0
,25.851854,-80.138726,,33141.0
,25.85219,-80.207174,,33150.0
,25.853764,-80.178006,,33138.0
,25.86219,-80.269677,,33013.0
,25.866106,-80.301115,,33012.0
,25.883337,-80.131831,,33154.0
,25.884867,-80.239362,,33167.0
,25.893051,-80.209181,,33168.0
,25.893664,-80.181539,,33161.0
,25.896066,-80.33314,,33016.0
,25.897992,-80.152331,,33181.0
,25.9031,-80.302654,,33014.0
,25.904093,-81.675851,,34145.0
,25.908575,-80.265122,,33054.0
,25.917734,-80.384416,,33018.0
,25.925194,-81.662917,,34140.0
,25.927997,-80.177175,,33162.0
,25.933997,-80.135801,,33160.0
,25.940565,-80.31818,,33015.0
,25.942746,-81.383178,,34137.0
,25.943117,-80.214686,,33169.0
,25.943846,-81.538206,,34114.0
,25.943923,-97.317944,,78521.0
,25.946906,-81.096079,,34141.0
,25.948468,-80.278855,,33055.0
,25.948877,-80.243582,,33056.0
,25.95762,-80.179998,,33179.0
,25.960389,-80.143113,,33180.0
,25.963264,-97.550453,,78520.0
,25.974621,-80.420075,,33029.0
,25.985129,-80.147261,,33009.0
,25.988101,-80.340444,,33027.0
,25.98821,-80.281374,,33025.0
,25.989042,-97.443339,,78526.0
,25.9892,-80.217067,,33023.0
,26.006735,-80.460152,,33332.0
,26.019191,-80.152944,,33020.0
,26.021034,-80.340397,,33028.0
,26.02176,-97.526109,,78575.0
,26.02313,-80.186539,,33021.0
,26.026198,-80.295994,,33026.0
,26.027148,-80.244713,,33024.0
,26.027459,-80.120219,,33019.0
,26.032137,-81.761821,,34101.0
,26.043649,-81.732424,,34113.0
,26.051625,-97.312767,,78578.0
,26.052713,-97.740451,,78567.0
,26.057838,-80.137801,,33004.0
,26.059533,-80.368583,,33331.0
,26.060831,-80.319086,,33330.0
,26.062006,-97.846971,,78592.0
,26.067601,-80.222643,,33314.0
,26.068175,-80.274812,,33328.0
,26.083167,-97.96214,,78579.0
,26.087015,-80.152994,,33315.0
,26.088128,-80.181807,,33312.0
,26.098738,-80.121896,,33316.0
,26.106086,-97.629292,,78586.0
,26.11122,-80.419892,,33327.0
,26.112043,-80.318317,,33325.0
,26.112485,-80.27494,,33324.0
,26.1126,-80.227875,,33317.0
,26.113415,-98.241154,,78557.0
,26.114333,-80.37067,,33326.0
,26.120498,-81.741578,,34112.0
,26.121323,-80.127909,,33301.0
,26.137498,-81.799105,,34102.0
,26.140411,-80.121184,,33304.0
,26.144208,-80.172785,,33311.0
,26.144539,-98.121312,,78516.0
,26.148406,-97.370376,,78566.0
,26.148831,-97.831112,,78559.0
,26.149955,-81.741562,,34104.0
,26.151064,-80.269953,,33322.0
,26.151527,-80.227316,,33313.0
,26.15153,-98.189752,,78577.0
,26.151721,-80.320963,,33323.0
,26.153361,-80.11944,,33305.0
,26.158622,-97.989155,,78596.0
,26.1619,-98.058657,,78537.0
,26.162332,-98.248702,,78503.0
,26.165442,-80.113853,,33306.0
,26.167843,-98.154834,,78589.0
,26.174608,-97.912659,,78570.0
,26.179526,-80.275008,,33351.0
,26.18103,-81.605176,,34117.0
,26.181382,-80.225802,,33319.0
,26.182586,-80.133578,,33334.0
,26.18599,-80.172721,,33309.0
,26.188511,-80.104988,,33308.0
,26.189294,-81.710803,,34116.0
,26.190046,-81.764777,,34105.0
,26.193782,-97.75069,,78552.0
,26.193911,-81.806496,,34103.0
,26.213579,-80.270272,,33321.0
,26.215816,-98.239592,,78501.0
,26.215954,-80.217951,,33068.0
,26.229223,-98.37545,,78572.0
,26.234776,-80.120591,,33060.0
,26.235,-97.271778,,78597.0
,26.23583,-80.1571,,33069.0
,26.240842,-81.763823,,34109.0
,26.241077,-80.091233,,33062.0
,26.242809,-98.49449,,78560.0
,26.244602,-80.265312,,33071.0
,26.246308,-81.808323,,34108.0
,26.251909,-80.208929,,33063.0
,26.252615,-80.170374,,33066.0
,26.252832,-97.743596,,78535.0
,26.253727,-98.567191,,78565.0
,26.255523,-97.667502,,78550.0
,26.261363,-97.489015,,78583.0
,26.268263,-81.714054,,34119.0
,26.271965,-98.23657,,78504.0
,26.274498,-80.2604,,33065.0
,26.274827,-98.654824,,78548.0
,26.275747,-97.823524,,78593.0
,26.278502,-80.1153,,33064.0
,26.280689,-98.183295,,78539.0
,26.291408,-98.545486,,78595.0
